anomaly,line_id,value,timestamps,Hour_Minute,Date,y_pred,y_pred_score
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,890887.0,2019-06-08 09:15:00,09:15:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,912516.0,2019-06-08 09:20:00,09:20:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,936339.0,2019-06-08 09:25:00,09:25:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,958847.0,2019-06-08 09:30:00,09:30:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,980873.0,2019-06-08 09:35:00,09:35:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,999955.0,2019-06-08 09:40:00,09:40:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1020327.0,2019-06-08 09:45:00,09:45:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1040690.0,2019-06-08 09:50:00,09:50:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1060878.0,2019-06-08 09:55:00,09:55:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1078739.0,2019-06-08 10:00:00,10:00:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1097746.0,2019-06-08 10:05:00,10:05:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1114324.0,2019-06-08 10:10:00,10:10:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1133773.0,2019-06-08 10:15:00,10:15:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1150796.0,2019-06-08 10:20:00,10:20:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1165467.0,2019-06-08 10:25:00,10:25:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1182537.0,2019-06-08 10:30:00,10:30:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1195913.0,2019-06-08 10:35:00,10:35:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1208065.0,2019-06-08 10:40:00,10:40:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1221506.0,2019-06-08 10:45:00,10:45:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1235634.0,2019-06-08 10:50:00,10:50:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1245283.0,2019-06-08 10:55:00,10:55:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1255776.0,2019-06-08 11:00:00,11:00:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1264895.0,2019-06-08 11:05:00,11:05:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1274600.0,2019-06-08 11:10:00,11:10:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1283512.0,2019-06-08 11:15:00,11:15:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1289168.0,2019-06-08 11:20:00,11:20:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1295180.0,2019-06-08 11:25:00,11:25:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1302028.0,2019-06-08 11:30:00,11:30:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1308032.0,2019-06-08 11:35:00,11:35:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1311490.0,2019-06-08 11:40:00,11:40:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1316080.0,2019-06-08 11:45:00,11:45:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1321743.0,2019-06-08 11:50:00,11:50:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1326806.0,2019-06-08 11:55:00,11:55:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1332032.0,2019-06-08 12:00:00,12:00:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1335518.0,2019-06-08 12:05:00,12:05:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1342816.0,2019-06-08 12:10:00,12:10:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1351176.0,2019-06-08 12:15:00,12:15:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1359438.0,2019-06-08 12:20:00,12:20:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1368507.0,2019-06-08 12:25:00,12:25:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1376164.0,2019-06-08 12:30:00,12:30:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1382505.0,2019-06-08 12:35:00,12:35:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1390747.0,2019-06-08 12:40:00,12:40:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1398556.0,2019-06-08 12:45:00,12:45:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1405937.0,2019-06-08 12:50:00,12:50:00,2019-06-08,99,99.0
0,105_dnm_tmp_NlZyB#sum_iUserNum_300#20190623_16Days_valid14D,1412275.0,2019-06-08 12:55:00,12:55:00,2019-06-08,99,99.0
